time	theta_jn	ra	psi	phi_orb	mtotal_ref	mtotal	logw	logprior	logl	hrss	deltalogll1	deltaloglh1	deltalogl	dec	
1.11117845300276e+09	1.67739216185333e-01	4.44140055935862e+00	1.89818946861211e+00	2.12087742933979e-01	1.00000000000000e+02	2.46511055338127e+02	-3.61573889645434e+01	1.85910964146573e+02	-1.83386733340509e+03	6.12549498170497e-21	4.20483954019201e+01	7.88975350870326e+01	1.22073261854205e+02	6.85860054968657e-01	
1.11117845302083e+09	2.49917464520176e-01	5.16870993166244e+00	2.67924582259908e+00	5.38118412145748e+00	1.00000000000000e+02	2.16363075801867e+02	-3.58580505071632e+01	1.86022428034539e+02	-1.83386522711249e+03	5.75659782711198e-21	3.62223236458282e+01	8.32532970145712e+01	1.22075368146810e+02	8.30097419409469e-01	
1.11117845301816e+09	4.18353125742807e-01	5.42408433640241e+00	1.36386562531350e+00	4.67670431582616e+00	1.00000000000000e+02	2.26878981591847e+02	-3.67602665234539e+01	1.86671431030457e+02	-1.83386360636526e+03	4.65156245755631e-21	4.17584405212825e+01	8.20269570179028e+01	1.22076988894042e+02	9.87817299478704e-01	
1.11117845301808e+09	6.28521077314683e-01	5.55419929125114e+00	4.74147058265586e-01	3.76117395851422e+00	1.00000000000000e+02	2.37063298070577e+02	-3.53702553020372e+01	1.85357185842090e+02	-1.83386274027884e+03	6.61178963279889e-21	3.68989337892612e+01	8.21332118917766e+01	1.22077854980455e+02	9.22561139164232e-01	
1.11117845302201e+09	8.37829494094223e-01	5.73900301245176e+00	2.68192961711923e+00	1.50269085134189e+00	1.00000000000000e+02	2.24606002823775e+02	-3.67284389199134e+01	1.86017762780411e+02	-1.83385485480371e+03	6.26209007973297e-21	3.97616268300285e+01	8.43498817474471e+01	1.22085740455587e+02	3.46657025223684e-01	
1.11117845301796e+09	1.22172722940736e-01	4.89024724004190e+00	1.70018545960764e+00	1.80252057679212e+00	1.00000000000000e+02	2.26087446521222e+02	-3.62803573953184e+01	1.86627785470351e+02	-1.83380925398457e+03	4.71843324458664e-21	3.99506055989179e+01	8.18602828526422e+01	1.22131341274726e+02	9.78862125724002e-01	
1.11117845301323e+09	5.54680935787386e-01	5.68514948444040e+00	1.37221193368049e+00	9.22987875877586e-01	1.00000000000000e+02	2.47908681988787e+02	-3.49090947969864e+01	1.86333846055847e+02	-1.83380221516649e+03	5.86217812812357e-21	4.21997739409537e+01	7.76338757573881e+01	1.22138380092805e+02	1.35562227554349e-01	
1.11117845300809e+09	1.72863886441471e-01	4.44705430162931e+00	1.25695509856672e+00	2.83225741475098e+00	1.00000000000000e+02	2.49103573216117e+02	-3.66547990839932e+01	1.85209078193491e+02	-1.83380123477914e+03	6.50233726618086e-21	3.98874238934849e+01	8.31082127695618e+01	1.22139360480154e+02	1.06210663312216e+00	
1.11117845301207e+09	2.14193216154759e-01	4.70758693363439e+00	1.16837153673695e+00	1.67160837126573e+00	1.00000000000000e+02	2.24263461800759e+02	-3.54033880066693e+01	1.86278596314114e+02	-1.83374554319015e+03	5.49902810337705e-21	3.93358566389322e+01	8.42223990280925e+01	1.22195052069147e+02	7.58373053736106e-01	
1.11117845301602e+09	1.39991854473677e-01	5.63665064778730e+00	8.71494973661318e-01	5.87963412014877e+00	1.00000000000000e+02	2.16305804662572e+02	-3.66199653985501e+01	1.86372219555018e+02	-1.83371620640674e+03	5.81844176895743e-21	3.52803670567438e+01	8.71166057132776e+01	1.22224388852557e+02	-3.99522130751030e-02	
1.11117845301748e+09	1.96579058872354e-01	5.71477196649744e+00	5.32239363021377e-01	3.11786262862928e+00	1.00000000000000e+02	2.20914026768744e+02	-3.65500816978755e+01	1.86847553685196e+02	-1.83368737740460e+03	5.12163833589773e-21	3.84467528243325e+01	8.44082358665484e+01	1.22253217854699e+02	2.65608365604686e-01	
1.11117845301838e+09	2.66447906806097e-01	5.30652174517486e+00	4.40343812562180e-01	4.08771785471358e-01	1.00000000000000e+02	2.20832182815151e+02	-3.63275163060815e+01	1.86761350971738e+02	-1.83366366973594e+03	4.73451580706811e-21	3.76049915792257e+01	8.72791811521116e+01	1.22276925523357e+02	8.67890644421012e-01	
